comarca,serventia,ano_ref,Distribuidos_ano,Baixados_ano,Pendentes_ano,Taxa_Cong_anual (%)
GOIÁS,11º CEJUSC REGIONAL VIRTUAL DO INTERIOR,2025,908,896,97,9.77
GOIÂNIA,10ª Vara Cível,2025,2131,2406,3350,58.2
GOIÂNIA,10º Juizado Especial Cível,2025,5531,6116,3025,33.09
GOIÂNIA,11ª Vara Cível,2025,2176,2497,3536,58.61
GOIÂNIA,11º CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA,2025,43,48,1,2.04
GOIÂNIA,11º Juizado Especial Cível,2025,5521,6971,2244,24.35
GOIÂNIA,12ª Vara Cível,2025,2240,2227,3936,63.87
GOIÂNIA,12º CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA,2025,371,625,1,0.16
GOIÂNIA,13ª Vara Cível e Ambiental,2025,2155,2292,3251,58.65
GOIÂNIA,14ª Vara Cível e Ambiental,2025,2170,2301,3941,63.14
GOIÂNIA,15ª Vara Cível e Ambiental,2025,2161,1928,3695,65.71
GOIÂNIA,16ª Vara Cível e Ambiental,2025,2223,1850,3735,66.88
GOIÂNIA,17ª Vara Cível e Ambiental,2025,2248,1894,3587,65.44
GOIÂNIA,18ª Vara Cível e Ambiental,2025,2281,2119,3982,65.27
GOIÂNIA,19ª Vara Cível e Ambiental,2025,2209,2025,4301,67.99
GOIÂNIA,1ª Vara Criminal dos Crimes Dolosos contra a Vida e Tribunal do Júri,2025,363,528,268,33.67
GOIÂNIA,1ª Vara Cível,2025,2170,2410,3215,57.16
GOIÂNIA,1ª Vara da Faz. Púb. Mun. e de Reg. Púb. - Execução Fiscal,2025,2441,19130,16795,46.75
GOIÂNIA,1ª Vara de Execução Penal,2025,1732,886,4851,84.56
GOIÂNIA,"1ª Vara dos Feitos Relativos a Delitos Praticados por Organização Criminosa e de Lavagem ou Ocultação de Bens, Direitos e Valores",2025,571,581,774,57.12
GOIÂNIA,1° CENTRO JUDICIÁRIO DE SOLUÇÃO DE CONFLITOS E CIDADANIA,2025,936,902,63,6.53
GOIÂNIA,1º CEJUSC DOS PARCEIROS,2025,8884,9480,112,1.17
GOIÂNIA,1º Juizado Especial Criminal,2025,3453,4082,799,16.37
GOIÂNIA,1º Juizado Especial Cível,2025,5518,6615,2691,28.92
GOIÂNIA,1º Juizado da Infância e da Juventude das causas cíveis e questões adm. afins,2025,1733,3121,2105,40.28
